transaction_id,vendor_id,transaction_date,transaction_type,amount,currency,account_id,account_name,description,status,invoice_number,reference_number,notes
TXN0000070,V00429,2023-07-19,Expense,4612.63,USD,1011,Additional Paid-in Capital,Transaction for V00429,Pending,INV334176,REF50250,
TXN0000071,V00127,2024-11-09,Refund,138.82,USD,1004,Prepaid Expenses,Transaction for V00127,Completed,INV813763,REF49106,
TXN0000072,V00191,2023-11-05,Invoice,17248.94,USD,1029,Shipping & Logistics,Transaction for V00191,Rejected,INV289117,REF73908,
TXN0000073,V00280,2023-12-29,Credit Memo,1994.58,USD,1010,Retained Earnings,Transaction for V00280,Completed,INV900660,REF26961,
TXN0000074,V00408,2025-05-29,Credit Memo,422.99,USD,1002,Inventory,Transaction for V00408,Completed,INV114760,REF79603,
TXN0000075,V00135,2023-01-09,Refund,741.23,USD,1006,Short-term Debt,Transaction for V00135,Rejected,,REF49085,
TXN0000076,V00262,2025-07-22,Invoice,23130.22,USD,1027,Payroll Tax,Transaction for V00262,Rejected,INV613989,REF34697,
TXN0000077,V00534,2025-04-06,Payment,346.66,USD,1010,Retained Earnings,Transaction for V00534,Rejected,INV930605,,
TXN0000078,V00179,2024-06-07,Payment,141.2,USD,1003,Equipment,Transaction for V00179,Pending,,,
TXN0000079,V00434,2023-09-11,Expense,269.34,USD,1000,Cash,Transaction for V00434,Hold,INV794663,REF91631,
TXN0000080,V00364,2023-10-08,Expense,110.5,USD,1007,Long-term Debt,Transaction for V00364,Pending,INV621917,,
TXN0000081,V00207,2024-06-22,Invoice,111.24,USD,1031,Software Licenses,Transaction for V00207,Hold,INV102871,,Data quality issue
TXN0000082,V00506,2023-08-15,Credit Memo,1996.95,USD,1005,Accounts Payable,Transaction for V00506,Pending,INV206210,REF94454,
TXN0000083,V00419,2024-08-29,Expense,1100.54,USD,1018,Utilities,Transaction for V00419,Rejected,INV221531,,
TXN0000084,V00377,2023-04-04,Expense,834.88,USD,1010,Retained Earnings,Transaction for V00377,Rejected,INV752011,,
TXN0000085,V00188,2025-02-02,Refund,1857.1,USD,1024,Professional Services,Transaction for V00188,Hold,INV935620,,
TXN0000086,V00164,2023-05-01,Credit Memo,1519.66,USD,1030,Research & Development,Transaction for V00164,Hold,,REF57002,
TXN0000087,V00462,2023-09-25,Expense,1923.33,USD,1016,Salaries & Wages,Transaction for V00462,Pending,INV810859,REF85582,
TXN0000088,V00347,2024-04-03,Refund,1542.8,USD,1006,Short-term Debt,Transaction for V00347,Completed,INV795951,REF60446,
TXN0000089,V00537,2023-04-22,Payment,42.52,USD,1010,Retained Earnings,Transaction for V00537,Hold,INV446968,REF16599,
TXN0000090,V00448,2025-02-14,Credit Memo,372.88,USD,1028,Benefits,Transaction for V00448,Hold,,REF51426,
TXN0000091,V00447,2025-10-15,Payment,2096.5,USD,1000,Cash,Transaction for V00447,Rejected,INV689648,,
TXN0000092,V00419,2024-11-29,Expense,1393.67,USD,1029,Shipping & Logistics,Transaction for V00419,Hold,INV480941,REF24945,Data quality issue
TXN0000093,V00294,2024-03-30,Payment,4844.45,USD,1023,Insurance,Transaction for V00294,Pending,INV616342,,
TXN0000094,V00055,2025-04-18,Refund,4.35,USD,1007,Long-term Debt,Transaction for V00055,Completed,INV919378,,
TXN0000095,V00153,2025-04-28,Refund,1624.09,USD,1028,Benefits,Transaction for V00153,Completed,INV104548,REF16366,
TXN0000096,V00495,2025-06-05,Credit Memo,41.52,USD,1011,Additional Paid-in Capital,Transaction for V00495,Completed,INV234618,,
TXN0000097,V00218,2024-10-21,Expense,36.94,USD,1015,Consulting,Transaction for V00218,Hold,INV408463,REF27481,
TXN0000098,V00541,2025-11-15,Credit Memo,1541.51,USD,1020,Travel,Transaction for V00541,Completed,INV754487,REF99995,
TXN0000099,V00183,2023-09-29,Expense,18.57,USD,1007,Long-term Debt,Transaction for V00183,Hold,INV799565,REF98374,
TXN0000100,V00497,2025-12-29,Credit Memo,374.16,USD,1000,Cash,Transaction for V00497,Pending,,,
TXN0000101,V00478,2024-02-14,Expense,965.44,USD,1003,Equipment,Transaction for V00478,Completed,INV133875,REF69322,
TXN0000102,V00251,2024-04-04,Payment,1624.58,USD,1018,Utilities,Transaction for V00251,Hold,INV926394,REF50980,
TXN0000103,V00010,2023-04-21,Invoice,1301.32,USD,1028,Benefits,Transaction for V00010,Rejected,INV673167,REF35751,
TXN0000104,V00507,2024-02-01,Invoice,19099.68,USD,1004,Prepaid Expenses,Transaction for V00507,Completed,INV225151,REF66165,
TXN0000105,V00127,2024-06-25,Payment,455.2,USD,1009,Common Stock,Transaction for V00127,Completed,INV725874,,
TXN0000106,V00086,2024-09-08,Expense,338.58,USD,1004,Prepaid Expenses,Transaction for V00086,Completed,INV645895,,
TXN0000107,V00053,2025-05-01,Expense,1319.1,USD,1021,Marketing,Transaction for V00053,Rejected,INV889216,REF72240,
TXN0000108,V00140,2023-01-19,Payment,873.33,USD,1015,Consulting,Transaction for V00140,Rejected,INV934883,REF60577,
TXN0000109,V00235,2024-08-02,Refund,942.69,USD,1028,Benefits,Transaction for V00235,Pending,INV783176,,
TXN0000110,V00043,2023-07-16,Payment,70.58,USD,1000,Cash,Transaction for V00043,Completed,INV911159,,
TXN0000111,V00192,2023-08-01,Invoice,81.43,USD,1004,Prepaid Expenses,Transaction for V00192,Pending,INV447828,,Data quality issue
TXN0000112,V00251,2023-12-31,Expense,2.16,USD,1014,Subscription Revenue,Transaction for V00251,Hold,INV760830,REF51471,Data quality issue
TXN0000113,V00245,2023-08-31,Payment,352.77,USD,1002,Inventory,Transaction for V00245,Rejected,INV211291,,
TXN0000114,V00335,2023-06-27,Refund,198.27,USD,1001,Accounts Receivable,Transaction for V00335,Completed,INV243006,REF81529,
TXN0000115,V00121,2023-10-23,Credit Memo,2807.64,USD,1000,Cash,Transaction for V00121,Completed,,,
TXN0000116,V00378,2023-06-24,Invoice,47.38,USD,1022,Maintenance,Transaction for V00378,Hold,INV992819,REF31096,
TXN0000117,V00122,2024-06-01,Credit Memo,117.55,USD,1029,Shipping & Logistics,Transaction for V00122,Pending,INV170634,,
TXN0000118,V00366,2025-09-24,Payment,41.42,USD,1015,Consulting,Transaction for V00366,Rejected,INV302897,REF69067,
TXN0000119,V00514,2024-09-18,Invoice,70.45,USD,1027,Payroll Tax,Transaction for V00514,Pending,INV923824,,
TXN0000120,V00113,2025-06-12,Refund,188.22,USD,1021,Marketing,Transaction for V00113,Hold,INV912402,REF82308,
TXN0000121,V00144,2023-06-17,Payment,1125.52,USD,1004,Prepaid Expenses,Transaction for V00144,Pending,INV762308,,
TXN0000122,V00383,2025-04-09,Credit Memo,175.07,USD,1016,Salaries & Wages,Transaction for V00383,Hold,INV255852,REF39269,
TXN0000123,V00108,2024-08-18,Credit Memo,54.24,USD,1015,Consulting,Transaction for V00108,Completed,INV247189,REF33480,
TXN0000124,V00408,2023-10-27,Invoice,353.73,USD,1002,Inventory,Transaction for V00408,Hold,INV377198,REF15610,
TXN0000125,V00370,2025-11-26,Expense,13.31,USD,1002,Inventory,Transaction for V00370,Pending,INV646699,REF45847,
TXN0000126,V00226,2024-06-23,Expense,7270.9,USD,1024,Professional Services,Transaction for V00226,Pending,INV494609,REF39215,
TXN0000127,V00354,2024-12-23,Refund,41.0,USD,1008,Accrued Expenses,Transaction for V00354,Completed,INV639535,REF37723,
TXN0000128,V00278,2023-11-19,Refund,487.45,USD,1014,Subscription Revenue,Transaction for V00278,Rejected,INV604906,REF72786,
TXN0000129,V00228,2023-11-27,Invoice,726.39,USD,1010,Retained Earnings,Transaction for V00228,Pending,INV253999,,
TXN0000130,V00053,2024-01-04,Expense,438.56,USD,1001,Accounts Receivable,Transaction for V00053,Pending,INV735988,REF73133,
TXN0000131,V00121,2025-04-21,Invoice,20.78,USD,1016,Salaries & Wages,Transaction for V00121,Rejected,INV725510,REF40122,
TXN0000132,V00191,2023-09-28,Invoice,74.05,USD,1026,Vendor Payments,Transaction for V00191,Pending,,REF88618,Data quality issue
TXN0000133,V00388,2025-12-24,Refund,4658.11,USD,1000,Cash,Transaction for V00388,Hold,INV145548,REF66224,
TXN0000134,V00059,2025-09-14,Refund,2043.03,USD,1006,Short-term Debt,Transaction for V00059,Completed,INV903061,,
TXN0000135,V00396,2024-08-03,Credit Memo,136.02,USD,1000,Cash,Transaction for V00396,Pending,INV493247,REF51405,
TXN0000136,V00321,2023-08-07,Credit Memo,814.83,USD,1016,Salaries & Wages,Transaction for V00321,Hold,INV741603,,
TXN0000137,V00478,2024-02-22,Expense,124.73,USD,1030,Research & Development,Transaction for V00478,Rejected,INV911801,REF28096,
TXN0000138,V00394,2023-09-01,Payment,258.76,USD,1010,Retained Earnings,Transaction for V00394,Completed,INV924265,REF82165,
TXN0000139,V00153,2023-04-17,Payment,966.44,USD,1027,Payroll Tax,Transaction for V00153,Pending,INV488848,,Data quality issue
TXN0000140,V00411,2025-02-26,Credit Memo,415.32,USD,1018,Utilities,Transaction for V00411,Pending,INV960072,,
TXN0000141,V00058,2023-01-22,Credit Memo,3610.8,USD,1014,Subscription Revenue,Transaction for V00058,Completed,INV477214,,Data quality issue
TXN0000142,V00400,2023-11-19,Refund,145.68,USD,1022,Maintenance,Transaction for V00400,Hold,INV642892,,
TXN0000143,V00225,2023-07-04,Invoice,3407.29,USD,1017,Rent,Transaction for V00225,Completed,INV523579,REF44223,
TXN0000144,V00022,2025-11-02,Payment,8.21,USD,1021,Marketing,Transaction for V00022,Rejected,INV952646,REF42786,
TXN0000145,V00043,2025-02-11,Credit Memo,435.72,USD,1029,Shipping & Logistics,Transaction for V00043,Pending,INV370343,,
TXN0000146,V00282,2024-03-27,Expense,2491.06,USD,1026,Vendor Payments,Transaction for V00282,Pending,INV376142,,Data quality issue
TXN0000147,V00507,2024-12-01,Invoice,63.57,USD,1017,Rent,Transaction for V00507,Completed,INV309365,,
TXN0000148,V00191,2024-06-27,Invoice,530.7,USD,1022,Maintenance,Transaction for V00191,Pending,,,
TXN0000149,V00393,2025-10-05,Credit Memo,9306.34,USD,1023,Insurance,Transaction for V00393,Rejected,INV702427,REF74330,
TXN0000150,V00534,2025-11-12,Payment,7.86,USD,1008,Accrued Expenses,Transaction for V00534,Hold,INV667036,,
TXN0000151,V00388,2023-12-24,Invoice,198.46,USD,1000,Cash,Transaction for V00388,Hold,INV441244,REF44039,
TXN0000152,V00434,2024-06-22,Expense,49.2,USD,1021,Marketing,Transaction for V00434,Completed,INV320759,REF58799,
TXN0000153,V00122,2025-03-31,Expense,2.67,USD,1006,Short-term Debt,Transaction for V00122,Completed,INV997904,REF29116,
TXN0000154,V00369,2023-11-03,Invoice,36.03,USD,1031,Software Licenses,Transaction for V00369,Rejected,INV414608,,
TXN0000155,V00425,2023-04-08,Refund,830.24,USD,1006,Short-term Debt,Transaction for V00425,Rejected,INV477808,REF43779,
TXN0000156,V00017,2025-04-23,Credit Memo,1328.54,USD,1012,Product Sales,Transaction for V00017,Completed,INV398433,REF98236,
TXN0000157,V00391,2025-07-04,Expense,74.65,USD,1010,Retained Earnings,Transaction for V00391,Hold,INV699405,REF19351,Data quality issue
TXN0000158,V00142,2024-12-04,Credit Memo,93.46,USD,1017,Rent,Transaction for V00142,Hold,INV566509,REF57600,
TXN0000159,V00424,2025-12-02,Expense,2831.38,USD,1015,Consulting,Transaction for V00424,Pending,INV516332,,Data quality issue
TXN0000160,V00254,2025-08-27,Payment,12174.07,USD,1005,Accounts Payable,Transaction for V00254,Rejected,INV188406,REF61097,
TXN0000161,V00335,2024-05-21,Payment,191.85,USD,1001,Accounts Receivable,Transaction for V00335,Rejected,INV440998,REF71235,
TXN0000162,V00377,2024-07-11,Credit Memo,189.19,USD,1011,Additional Paid-in Capital,Transaction for V00377,Hold,INV766738,REF67013,
TXN0000163,V00140,2025-12-29,Expense,96.92,USD,1019,Office Supplies,Transaction for V00140,Hold,INV418319,,
TXN0000164,V00434,2023-10-07,Refund,475.87,USD,1031,Software Licenses,Transaction for V00434,Rejected,,REF48393,
TXN0000165,V00276,2023-01-15,Refund,45.59,USD,1010,Retained Earnings,Transaction for V00276,Hold,INV183057,REF41399,
TXN0000166,V00378,2024-07-10,Refund,1557.07,USD,1017,Rent,Transaction for V00378,Completed,INV291267,,
TXN0000167,V00416,2025-07-21,Payment,197.81,USD,1009,Common Stock,Transaction for V00416,Pending,,,
TXN0000168,V00282,2025-06-16,Refund,44.0,USD,1000,Cash,Transaction for V00282,Completed,INV426711,REF75325,
TXN0000169,V00531,2025-08-07,Expense,62.73,USD,1003,Equipment,Transaction for V00531,Hold,,REF35191,
TXN0000170,V00013,2024-05-27,Refund,11764.76,USD,1015,Consulting,Transaction for V00013,Hold,INV135138,,
TXN0000171,V00431,2023-07-12,Invoice,20.47,USD,1020,Travel,Transaction for V00431,Pending,INV676276,REF43202,
TXN0000172,V00419,2024-09-03,Payment,674.53,USD,1013,Service Revenue,Transaction for V00419,Completed,INV440277,,
TXN0000173,V00135,2023-09-03,Credit Memo,724.09,USD,1030,Research & Development,Transaction for V00135,Completed,INV193826,,
TXN0000174,V00062,2024-11-24,Credit Memo,416.9,USD,1009,Common Stock,Transaction for V00062,Pending,,,
TXN0000175,V00450,2024-12-12,Expense,386.14,USD,1008,Accrued Expenses,Transaction for V00450,Pending,INV558752,REF81137,
TXN0000176,V00396,2024-01-24,Expense,266.87,USD,1029,Shipping & Logistics,Transaction for V00396,Completed,,,
TXN0000177,V00138,2024-06-23,Payment,6982.71,USD,1011,Additional Paid-in Capital,Transaction for V00138,Rejected,INV350385,REF18302,
TXN0000178,V00144,2025-03-04,Credit Memo,408.66,USD,1009,Common Stock,Transaction for V00144,Rejected,INV772036,REF22616,
TXN0000179,V00112,2023-05-17,Payment,501.98,USD,1012,Product Sales,Transaction for V00112,Pending,INV976923,REF74213,
TXN0000180,V00534,2024-06-08,Payment,635.45,USD,1004,Prepaid Expenses,Transaction for V00534,Completed,INV972496,,
TXN0000181,V00378,2023-05-05,Credit Memo,2751.7,USD,1003,Equipment,Transaction for V00378,Rejected,INV869969,,
TXN0000182,V00100,2024-03-18,Credit Memo,184.05,USD,1014,Subscription Revenue,Transaction for V00100,Hold,,REF42605,
TXN0000183,V00251,2024-01-02,Refund,178.84,USD,1022,Maintenance,Transaction for V00251,Hold,INV274912,REF82085,
TXN0000184,V00368,2024-11-22,Expense,651.87,USD,1028,Benefits,Transaction for V00368,Rejected,INV440424,REF64046,
TXN0000185,V00332,2025-05-31,Expense,54.62,USD,1016,Salaries & Wages,Transaction for V00332,Hold,INV516379,,Data quality issue
TXN0000186,V00235,2024-08-05,Payment,79.77,USD,1019,Office Supplies,Transaction for V00235,Rejected,INV325258,REF12844,
TXN0000187,V00524,2024-07-19,Refund,5.58,USD,1002,Inventory,Transaction for V00524,Rejected,,,
TXN0000188,V00499,2024-05-26,Credit Memo,82.99,USD,1025,Depreciation,Transaction for V00499,Completed,INV858729,REF73246,
TXN0000189,V00145,2023-07-15,Expense,13844.74,USD,1003,Equipment,Transaction for V00145,Rejected,INV555401,REF25799,
TXN0000190,V00497,2024-04-09,Refund,939.94,USD,1000,Cash,Transaction for V00497,Pending,INV143182,REF84044,
TXN0000191,V00514,2025-10-25,Credit Memo,8792.46,USD,1028,Benefits,Transaction for V00514,Pending,INV403859,REF29400,
TXN0000192,V00378,2023-06-19,Expense,1110.35,USD,1025,Depreciation,Transaction for V00378,Pending,INV555596,REF27088,
TXN0000193,V00462,2025-09-11,Invoice,51.41,USD,1015,Consulting,Transaction for V00462,Pending,INV550956,REF85499,Data quality issue
TXN0000194,V00140,2025-04-27,Credit Memo,1981.06,USD,1022,Maintenance,Transaction for V00140,Pending,INV277477,REF90769,
TXN0000195,V00335,2025-06-24,Invoice,14003.54,USD,1023,Insurance,Transaction for V00335,Pending,,,
TXN0000196,V00295,2023-10-30,Expense,17367.85,USD,1007,Long-term Debt,Transaction for V00295,Hold,INV447997,,
TXN0000197,V00120,2024-02-22,Payment,356.05,USD,1009,Common Stock,Transaction for V00120,Hold,INV795759,REF43483,
TXN0000198,V00541,2024-08-04,Refund,3999.86,USD,1003,Equipment,Transaction for V00541,Pending,,REF96898,
TXN0000199,V00020,2025-01-07,Credit Memo,135.1,USD,1024,Professional Services,Transaction for V00020,Pending,INV608205,REF79672,Data quality issue
TXN0000200,V00138,2024-02-12,Payment,22013.73,USD,1001,Accounts Receivable,Transaction for V00138,Completed,INV419739,REF61563,
TXN0000201,V00294,2023-02-07,Payment,142.12,USD,1017,Rent,Transaction for V00294,Rejected,INV954441,REF82737,
TXN0000202,V00426,2024-04-06,Refund,1538.36,USD,1005,Accounts Payable,Transaction for V00426,Completed,INV700727,,
TXN0000203,V00112,2024-11-05,Invoice,540.87,USD,1012,Product Sales,Transaction for V00112,Rejected,INV649249,REF66369,
TXN0000204,V00226,2023-10-25,Payment,1155.55,USD,1020,Travel,Transaction for V00226,Pending,,REF29073,
TXN0000205,V00424,2024-10-14,Invoice,2101.11,USD,1017,Rent,Transaction for V00424,Completed,,,
TXN0000206,V00055,2024-06-30,Invoice,267.6,USD,1014,Subscription Revenue,Transaction for V00055,Pending,INV821568,REF27575,
TXN0000207,V00422,2025-08-18,Invoice,896.14,USD,1010,Retained Earnings,Transaction for V00422,Completed,,REF11967,
TXN0000208,V00016,2025-04-25,Payment,2470.63,USD,1013,Service Revenue,Transaction for V00016,Completed,INV560623,REF74217,
TXN0000209,V00438,2025-07-26,Expense,248.82,USD,1024,Professional Services,Transaction for V00438,Hold,INV878533,REF80275,
TXN0000210,V00394,2023-03-20,Invoice,560.61,USD,1002,Inventory,Transaction for V00394,Hold,INV141158,REF77649,
TXN0000211,V00335,2023-04-11,Invoice,102.86,USD,1029,Shipping & Logistics,Transaction for V00335,Hold,INV157196,REF28643,
TXN0000212,V00108,2025-07-14,Refund,1117.49,USD,1008,Accrued Expenses,Transaction for V00108,Hold,INV126122,,
TXN0000213,V00093,2024-02-18,Payment,402.79,USD,1010,Retained Earnings,Transaction for V00093,Pending,,REF57571,Data quality issue
TXN0000214,V00148,2025-02-25,Refund,8675.07,USD,1010,Retained Earnings,Transaction for V00148,Hold,,,
TXN0000215,V00385,2023-11-04,Refund,1578.16,USD,1019,Office Supplies,Transaction for V00385,Rejected,INV223264,REF36588,Data quality issue
TXN0000216,V00444,2024-06-02,Credit Memo,6945.85,USD,1000,Cash,Transaction for V00444,Hold,INV717466,REF69472,
TXN0000217,V00279,2023-06-12,Payment,438.62,USD,1013,Service Revenue,Transaction for V00279,Completed,,REF14813,
TXN0000218,V00045,2023-03-08,Payment,4997.7,USD,1021,Marketing,Transaction for V00045,Pending,,REF31146,
TXN0000219,V00369,2023-12-30,Refund,901.1,USD,1023,Insurance,Transaction for V00369,Pending,INV984274,REF48382,
TXN0000220,V00400,2023-09-07,Credit Memo,278.92,USD,1026,Vendor Payments,Transaction for V00400,Completed,INV741784,,
TXN0000221,V00496,2025-12-19,Refund,259.31,USD,1018,Utilities,Transaction for V00496,Rejected,INV703080,REF56380,
